,series_id,year,period,value,footnote_codes
0,EIUIP02                       ,1992,M12,113.5,
3,EIUIP02                       ,1993,M03,119.4,
6,EIUIP02                       ,1993,M06,126.3,
9,EIUIP02                       ,1993,M09,122.0,
12,EIUIP02                       ,1993,M12,117.5,
15,EIUIP02                       ,1994,M03,120.4,
18,EIUIP02                       ,1994,M06,109.9,
21,EIUIP02                       ,1994,M09,110.3,
24,EIUIP02                       ,1994,M12,108.1,
27,EIUIP02                       ,1995,M03,103.5,
30,EIUIP02                       ,1995,M06,96.4,
33,EIUIP02                       ,1995,M09,95.7,
36,EIUIP02                       ,1995,M12,101.5,
39,EIUIP02                       ,1996,M03,92.5,
42,EIUIP02                       ,1996,M06,87.4,
45,EIUIP02                       ,1996,M09,93.1,
48,EIUIP02                       ,1996,M12,93.8,
51,EIUIP02                       ,1997,M03,98.5,
54,EIUIP02                       ,1997,M06,95.8,
57,EIUIP02                       ,1997,M09,101.0,
60,EIUIP02                       ,1997,M12,100.2,
63,EIUIP02                       ,1998,M03,97.2,
66,EIUIP02                       ,1998,M06,95.9,
69,EIUIP02                       ,1998,M09,95.7,
72,EIUIP02                       ,1998,M12,92.3,
75,EIUIP02                       ,1999,M03,95.5,
78,EIUIP02                       ,1999,M06,95.9,
81,EIUIP02                       ,1999,M09,100.7,
84,EIUIP02                       ,1999,M12,99.8,
87,EIUIP02                       ,2000,M03,100.4,
90,EIUIP02                       ,2000,M06,100.5,
93,EIUIP02                       ,2000,M09,101.2,
96,EIUIP02                       ,2000,M12,100.2,
99,EIUIP02                       ,2001,M03,104.3,
102,EIUIP02                       ,2001,M06,107.3,
105,EIUIP02                       ,2001,M09,113.9,
108,EIUIP02                       ,2001,M12,109.5,
111,EIUIP02                       ,2002,M03,110.0,
114,EIUIP02                       ,2002,M06,104.1,
117,EIUIP02                       ,2002,M09,103.2,
120,EIUIP02                       ,2002,M12,107.5,
123,EIUIP02                       ,2003,M03,109.7,
126,EIUIP02                       ,2003,M06,104.1,
129,EIUIP02                       ,2003,M09,114.0,
132,EIUIP02                       ,2003,M12,121.3,
135,EIUIP02                       ,2004,M03,122.5,
138,EIUIP02                       ,2004,M06,130.8,
141,EIUIP02                       ,2004,M09,138.1,
144,EIUIP02                       ,2004,M12,135.6,
147,EIUIP02                       ,2005,M03,137.4,
150,EIUIP02                       ,2005,M06,138.7,
153,EIUIP02                       ,2005,M09,139.3,
156,EIUIP02                       ,2005,M12,138.6,
159,EIUIP02                       ,2006,M03,138.0,
162,EIUIP02                       ,2006,M06,137.2,
165,EIUIP02                       ,2006,M09,140.4,
168,EIUIP02                       ,2006,M12,141.6,
171,EIUIP02                       ,2007,M03,142.2,
174,EIUIP02                       ,2007,M06,146.8,
177,EIUIP02                       ,2007,M09,148.5,
180,EIUIP02                       ,2007,M12,147.3,
183,EIUIP02                       ,2008,M03,152.3,
186,EIUIP02                       ,2008,M06,165.4,
189,EIUIP02                       ,2008,M09,173.4,
192,EIUIP02                       ,2008,M12,148.2,
195,EIUIP02                       ,2009,M03,144.3,
198,EIUIP02                       ,2009,M06,150.8,
201,EIUIP02                       ,2009,M09,157.3,
204,EIUIP02                       ,2009,M12,159.5,
207,EIUIP02                       ,2010,M03,174.5,
210,EIUIP02                       ,2010,M06,183.2,
213,EIUIP02                       ,2010,M09,183.2,
216,EIUIP02                       ,2010,M12,192.8,
219,EIUIP02                       ,2011,M03,211.5,
222,EIUIP02                       ,2011,M06,209.7,
225,EIUIP02                       ,2011,M09,209.3,
228,EIUIP02                       ,2011,M12,215.1,
231,EIUIP02                       ,2012,M03,222.3,
234,EIUIP02                       ,2012,M06,214.1,
237,EIUIP02                       ,2012,M09,219.2,
240,EIUIP02                       ,2012,M12,217.2,
243,EIUIP02                       ,2013,M03,217.2,
246,EIUIP02                       ,2013,M06,219.8,
249,EIUIP02                       ,2013,M09,221.1,
252,EIUIP02                       ,2013,M12,222.8,
255,EIUIP02                       ,2014,M03,237.0,
258,EIUIP02                       ,2014,M06,251.6,
261,EIUIP02                       ,2014,M09,274.7,
264,EIUIP02                       ,2014,M12,255.0,
267,EIUIP02                       ,2015,M03,241.2,
