,series_id,year,period,value,footnote_codes
0,JTS000000000000000OSL         ,2000,M12,340.0,
1,JTS000000000000000OSL         ,2001,M01,377.0,
2,JTS000000000000000OSL         ,2001,M02,323.0,
3,JTS000000000000000OSL         ,2001,M03,379.0,
4,JTS000000000000000OSL         ,2001,M04,367.0,
5,JTS000000000000000OSL         ,2001,M05,368.0,
6,JTS000000000000000OSL         ,2001,M06,356.0,
7,JTS000000000000000OSL         ,2001,M07,394.0,
8,JTS000000000000000OSL         ,2001,M08,416.0,
9,JTS000000000000000OSL         ,2001,M09,374.0,
10,JTS000000000000000OSL         ,2001,M10,350.0,
11,JTS000000000000000OSL         ,2001,M11,335.0,
12,JTS000000000000000OSL         ,2001,M12,368.0,
13,JTS000000000000000OSL         ,2002,M01,365.0,
14,JTS000000000000000OSL         ,2002,M02,379.0,
15,JTS000000000000000OSL         ,2002,M03,380.0,
16,JTS000000000000000OSL         ,2002,M04,398.0,
17,JTS000000000000000OSL         ,2002,M05,330.0,
18,JTS000000000000000OSL         ,2002,M06,349.0,
19,JTS000000000000000OSL         ,2002,M07,390.0,
20,JTS000000000000000OSL         ,2002,M08,362.0,
21,JTS000000000000000OSL         ,2002,M09,376.0,
22,JTS000000000000000OSL         ,2002,M10,375.0,
23,JTS000000000000000OSL         ,2002,M11,402.0,
24,JTS000000000000000OSL         ,2002,M12,421.0,
25,JTS000000000000000OSL         ,2003,M01,415.0,
26,JTS000000000000000OSL         ,2003,M02,366.0,
27,JTS000000000000000OSL         ,2003,M03,406.0,
28,JTS000000000000000OSL         ,2003,M04,376.0,
29,JTS000000000000000OSL         ,2003,M05,353.0,
30,JTS000000000000000OSL         ,2003,M06,327.0,
31,JTS000000000000000OSL         ,2003,M07,328.0,
32,JTS000000000000000OSL         ,2003,M08,322.0,
33,JTS000000000000000OSL         ,2003,M09,359.0,
34,JTS000000000000000OSL         ,2003,M10,365.0,
35,JTS000000000000000OSL         ,2003,M11,338.0,
36,JTS000000000000000OSL         ,2003,M12,334.0,
37,JTS000000000000000OSL         ,2004,M01,331.0,
38,JTS000000000000000OSL         ,2004,M02,321.0,
39,JTS000000000000000OSL         ,2004,M03,349.0,
