,series_id,year,period,value,footnote_codes
13,PCU331---331---               ,1985,M13,99.4,
26,PCU331---331---               ,1986,M13,97.0,
39,PCU331---331---               ,1987,M13,101.0,
52,PCU331---331---               ,1988,M13,113.0,
65,PCU331---331---               ,1989,M13,118.8,
78,PCU331---331---               ,1990,M13,116.5,
91,PCU331---331---               ,1991,M13,113.1,
104,PCU331---331---               ,1992,M13,111.7,
117,PCU331---331---               ,1993,M13,111.4,
130,PCU331---331---               ,1994,M13,117.0,
143,PCU331---331---               ,1995,M13,128.2,
156,PCU331---331---               ,1996,M13,123.7,
169,PCU331---331---               ,1997,M13,124.7,
182,PCU331---331---               ,1998,M13,120.9,
195,PCU331---331---               ,1999,M13,115.8,
208,PCU331---331---               ,2000,M13,119.8,
221,PCU331---331---               ,2001,M13,116.1,
234,PCU331---331---               ,2002,M13,116.2,
247,PCU331---331---               ,2003,M13,118.4,
260,PCU331---331---               ,2004,M13,142.8,
273,PCU331---331---               ,2005,M13,156.3,
286,PCU331---331---               ,2006,M13,179.3,
299,PCU331---331---               ,2007,M13,190.5,
312,PCU331---331---               ,2008,M13,211.9,
325,PCU331---331---               ,2009,M13,172.5,
338,PCU331---331---               ,2010,M13,196.1,
351,PCU331---331---               ,2011,M13,217.2,
364,PCU331---331---               ,2012,M13,207.6,
377,PCU331---331---               ,2013,M13,198.7,
390,PCU331---331---               ,2014,M13,201.0,
403,PCU331---331---               ,2015,M13,184.0,
416,PCU331---331---               ,2016,M13,175.2,
429,PCU331---331---               ,2017,M13,191.4,
442,PCU331---331---               ,2018,M13,211.5,
455,PCU331---331---               ,2019,M13,206.7,
468,PCU331---331---               ,2020,M13,195.1,
481,PCU331---331---               ,2021,M13,292.138,P
498,PCU3311--3311--               ,2004,M13,127.7,
511,PCU3311--3311--               ,2005,M13,136.7,
524,PCU3311--3311--               ,2006,M13,150.9,
537,PCU3311--3311--               ,2007,M13,160.8,
550,PCU3311--3311--               ,2008,M13,189.7,
563,PCU3311--3311--               ,2009,M13,138.1,
576,PCU3311--3311--               ,2010,M13,163.4,
589,PCU3311--3311--               ,2011,M13,183.6,
602,PCU3311--3311--               ,2012,M13,175.5,
615,PCU3311--3311--               ,2013,M13,164.8,
628,PCU3311--3311--               ,2014,M13,170.7,
641,PCU3311--3311--               ,2015,M13,148.8,
654,PCU3311--3311--               ,2016,M13,139.1,
667,PCU3311--3311--               ,2017,M13,156.8,
680,PCU3311--3311--               ,2018,M13,178.5,
693,PCU3311--3311--               ,2019,M13,170.1,
706,PCU3311--3311--               ,2020,M13,150.7,
719,PCU3311--3311--               ,2021,M13,283.819,P
736,PCU33111-33111-               ,2004,M13,127.7,
749,PCU33111-33111-               ,2005,M13,136.7,
762,PCU33111-33111-               ,2006,M13,150.9,
775,PCU33111-33111-               ,2007,M13,160.8,
788,PCU33111-33111-               ,2008,M13,189.7,
801,PCU33111-33111-               ,2009,M13,138.1,
814,PCU33111-33111-               ,2010,M13,163.4,
827,PCU33111-33111-               ,2011,M13,183.6,
840,PCU33111-33111-               ,2012,M13,175.5,
853,PCU33111-33111-               ,2013,M13,164.8,
866,PCU33111-33111-               ,2014,M13,170.7,
879,PCU33111-33111-               ,2015,M13,148.8,
892,PCU33111-33111-               ,2016,M13,139.1,
905,PCU33111-33111-               ,2017,M13,156.8,
918,PCU33111-33111-               ,2018,M13,178.5,
931,PCU33111-33111-               ,2019,M13,170.1,
944,PCU33111-33111-               ,2020,M13,150.7,
957,PCU33111-33111-               ,2021,M13,283.819,P
973,PCU331110331110               ,1965,M13,27.6,
986,PCU331110331110               ,1966,M13,27.9,
999,PCU331110331110               ,1967,M13,28.3,
1012,PCU331110331110               ,1968,M13,28.9,
1025,PCU331110331110               ,1969,M13,30.3,
1038,PCU331110331110               ,1970,M13,32.3,
1051,PCU331110331110               ,1971,M13,34.9,
1064,PCU331110331110               ,1972,M13,36.9,
1077,PCU331110331110               ,1973,M13,38.0,
1090,PCU331110331110               ,1974,M13,49.0,
1103,PCU331110331110               ,1975,M13,57.8,
1116,PCU331110331110               ,1976,M13,61.3,
1129,PCU331110331110               ,1977,M13,67.0,
1142,PCU331110331110               ,1978,M13,74.2,
1155,PCU331110331110               ,1979,M13,81.7,
1168,PCU331110331110               ,1980,M13,87.8,
1181,PCU331110331110               ,1981,M13,96.9,
1194,PCU331110331110               ,1982,M13,100.0,
1207,PCU331110331110               ,1983,M13,101.1,
1220,PCU331110331110               ,1984,M13,104.7,
1233,PCU331110331110               ,1985,M13,104.9,
1246,PCU331110331110               ,1986,M13,99.7,
1259,PCU331110331110               ,1987,M13,102.4,
1272,PCU331110331110               ,1988,M13,109.4,
1285,PCU331110331110               ,1989,M13,113.0,
1298,PCU331110331110               ,1990,M13,110.8,
1311,PCU331110331110               ,1991,M13,108.4,
1324,PCU331110331110               ,1992,M13,105.8,
1337,PCU331110331110               ,1993,M13,107.4,
1350,PCU331110331110               ,1994,M13,112.4,
1363,PCU331110331110               ,1995,M13,118.5,
1376,PCU331110331110               ,1996,M13,114.0,
1389,PCU331110331110               ,1997,M13,114.2,
1402,PCU331110331110               ,1998,M13,111.3,
1415,PCU331110331110               ,1999,M13,102.0,
1428,PCU331110331110               ,2000,M13,104.1,
1441,PCU331110331110               ,2001,M13,96.9,
1454,PCU331110331110               ,2002,M13,100.1,
1467,PCU331110331110               ,2003,M13,103.8,
1480,PCU331110331110               ,2004,M13,136.4,
1493,PCU331110331110               ,2005,M13,145.9,
1506,PCU331110331110               ,2006,M13,161.5,
1519,PCU331110331110               ,2007,M13,172.0,
1532,PCU331110331110               ,2008,M13,202.5,
1545,PCU331110331110               ,2009,M13,147.8,
1558,PCU331110331110               ,2010,M13,175.1,
1571,PCU331110331110               ,2011,M13,197.0,
1584,PCU331110331110               ,2012,M13,188.2,
1597,PCU331110331110               ,2013,M13,176.8,
1610,PCU331110331110               ,2014,M13,183.1,
1623,PCU331110331110               ,2015,M13,159.6,
1636,PCU331110331110               ,2016,M13,149.2,
1649,PCU331110331110               ,2017,M13,168.2,
1662,PCU331110331110               ,2018,M13,191.4,
1675,PCU331110331110               ,2019,M13,182.5,
1688,PCU331110331110               ,2020,M13,161.7,
1701,PCU331110331110               ,2021,M13,304.32,P
1717,PCU3311103311103              ,1965,M13,26.4,
1730,PCU3311103311103              ,1966,M13,26.6,
1743,PCU3311103311103              ,1967,M13,27.0,
1756,PCU3311103311103              ,1968,M13,27.7,
1769,PCU3311103311103              ,1969,M13,29.3,
1782,PCU3311103311103              ,1970,M13,30.8,
1795,PCU3311103311103              ,1971,M13,33.7,
