,series_id,year,period,value,footnote_codes
0,PCU492---492---               ,2003,M12,100.0,
1,PCU492---492---               ,2004,M01,104.8,
2,PCU492---492---               ,2004,M02,104.7,
3,PCU492---492---               ,2004,M03,105.5,
4,PCU492---492---               ,2004,M04,105.2,
5,PCU492---492---               ,2004,M05,105.4,
6,PCU492---492---               ,2004,M06,105.6,
7,PCU492---492---               ,2004,M07,106.2,
8,PCU492---492---               ,2004,M08,106.0,
9,PCU492---492---               ,2004,M09,106.5,
10,PCU492---492---               ,2004,M10,106.9,
11,PCU492---492---               ,2004,M11,107.6,
12,PCU492---492---               ,2004,M12,108.5,
13,PCU492---492---               ,2004,M13,106.1,
14,PCU492---492---               ,2005,M01,112.3,
15,PCU492---492---               ,2005,M02,112.1,
16,PCU492---492---               ,2005,M03,112.2,
17,PCU492---492---               ,2005,M04,112.4,
18,PCU492---492---               ,2005,M05,113.4,
19,PCU492---492---               ,2005,M06,113.5,
20,PCU492---492---               ,2005,M07,113.3,
21,PCU492---492---               ,2005,M08,113.9,
22,PCU492---492---               ,2005,M09,114.2,
23,PCU492---492---               ,2005,M10,115.4,
24,PCU492---492---               ,2005,M11,116.7,
25,PCU492---492---               ,2005,M12,116.8,
26,PCU492---492---               ,2005,M13,113.8,
27,PCU492---492---               ,2006,M01,120.2,
28,PCU492---492---               ,2006,M02,120.1,
29,PCU492---492---               ,2006,M03,120.4,
30,PCU492---492---               ,2006,M04,120.3,
31,PCU492---492---               ,2006,M05,120.8,
32,PCU492---492---               ,2006,M06,122.5,
33,PCU492---492---               ,2006,M07,122.8,
34,PCU492---492---               ,2006,M08,122.8,
35,PCU492---492---               ,2006,M09,123.2,
36,PCU492---492---               ,2006,M10,123.4,
37,PCU492---492---               ,2006,M11,121.3,
38,PCU492---492---               ,2006,M12,120.3,
39,PCU492---492---               ,2006,M13,121.5,
40,PCU492---492---               ,2007,M01,129.5,
41,PCU492---492---               ,2007,M02,130.0,
42,PCU492---492---               ,2007,M03,128.9,
43,PCU492---492---               ,2007,M04,129.6,
44,PCU492---492---               ,2007,M05,130.4,
45,PCU492---492---               ,2007,M06,132.0,
46,PCU492---492---               ,2007,M07,132.0,
47,PCU492---492---               ,2007,M08,132.2,
48,PCU492---492---               ,2007,M09,132.6,
49,PCU492---492---               ,2007,M10,132.4,
50,PCU492---492---               ,2007,M11,133.7,
51,PCU492---492---               ,2007,M12,134.3,
52,PCU492---492---               ,2007,M13,131.5,
53,PCU492---492---               ,2008,M01,137.8,
54,PCU492---492---               ,2008,M02,137.4,
55,PCU492---492---               ,2008,M03,137.4,
56,PCU492---492---               ,2008,M04,138.3,
57,PCU492---492---               ,2008,M05,141.7,
58,PCU492---492---               ,2008,M06,143.8,
59,PCU492---492---               ,2008,M07,146.8,
60,PCU492---492---               ,2008,M08,148.2,
61,PCU492---492---               ,2008,M09,148.4,
62,PCU492---492---               ,2008,M10,144.4,
63,PCU492---492---               ,2008,M11,143.8,
64,PCU492---492---               ,2008,M12,136.3,
65,PCU492---492---               ,2008,M13,142.0,
66,PCU492---492---               ,2009,M01,144.4,
67,PCU492---492---               ,2009,M02,139.9,
68,PCU492---492---               ,2009,M03,140.4,
69,PCU492---492---               ,2009,M04,138.9,
70,PCU492---492---               ,2009,M05,138.7,
71,PCU492---492---               ,2009,M06,139.6,
72,PCU492---492---               ,2009,M07,140.4,
73,PCU492---492---               ,2009,M08,142.8,
74,PCU492---492---               ,2009,M09,142.5,
75,PCU492---492---               ,2009,M10,143.8,
76,PCU492---492---               ,2009,M11,142.7,
77,PCU492---492---               ,2009,M12,144.0,
78,PCU492---492---               ,2009,M13,141.5,
79,PCU492---492---               ,2010,M01,152.3,
80,PCU492---492---               ,2010,M02,152.1,
81,PCU492---492---               ,2010,M03,153.0,
82,PCU492---492---               ,2010,M04,152.3,
83,PCU492---492---               ,2010,M05,153.6,
84,PCU492---492---               ,2010,M06,155.1,
85,PCU492---492---               ,2010,M07,153.7,
86,PCU492---492---               ,2010,M08,153.3,
87,PCU492---492---               ,2010,M09,153.0,
88,PCU492---492---               ,2010,M10,154.0,
89,PCU492---492---               ,2010,M11,153.6,
90,PCU492---492---               ,2010,M12,154.9,
91,PCU492---492---               ,2010,M13,153.4,
92,PCU492---492---               ,2011,M01,164.0,
93,PCU492---492---               ,2011,M02,165.0,
94,PCU492---492---               ,2011,M03,166.0,
95,PCU492---492---               ,2011,M04,168.1,
96,PCU492---492---               ,2011,M05,170.3,
97,PCU492---492---               ,2011,M06,171.9,
98,PCU492---492---               ,2011,M07,170.9,
99,PCU492---492---               ,2011,M08,170.5,
100,PCU492---492---               ,2011,M09,170.4,
101,PCU492---492---               ,2011,M10,169.8,
102,PCU492---492---               ,2011,M11,169.6,
103,PCU492---492---               ,2011,M12,169.6,
104,PCU492---492---               ,2011,M13,168.8,
105,PCU492---492---               ,2012,M01,179.4,
106,PCU492---492---               ,2012,M02,178.9,
107,PCU492---492---               ,2012,M03,179.3,
108,PCU492---492---               ,2012,M04,180.0,
