,series_id,year,period,value,footnote_codes
0,PCU336---336---               ,2003,M12,100.0,
1,PCU336---336---               ,2004,M01,100.2,
2,PCU336---336---               ,2004,M02,100.1,
3,PCU336---336---               ,2004,M03,100.4,
4,PCU336---336---               ,2004,M04,100.2,
5,PCU336---336---               ,2004,M05,100.4,
6,PCU336---336---               ,2004,M06,100.6,
7,PCU336---336---               ,2004,M07,99.7,
8,PCU336---336---               ,2004,M08,99.8,
9,PCU336---336---               ,2004,M09,99.9,
10,PCU336---336---               ,2004,M10,103.2,
11,PCU336---336---               ,2004,M11,102.7,
12,PCU336---336---               ,2004,M12,102.9,
14,PCU336---336---               ,2005,M01,103.2,
15,PCU336---336---               ,2005,M02,102.6,
16,PCU336---336---               ,2005,M03,102.6,
17,PCU336---336---               ,2005,M04,102.7,
18,PCU336---336---               ,2005,M05,102.6,
19,PCU336---336---               ,2005,M06,101.7,
20,PCU336---336---               ,2005,M07,102.0,
21,PCU336---336---               ,2005,M08,101.8,
22,PCU336---336---               ,2005,M09,101.9,
23,PCU336---336---               ,2005,M10,103.9,
24,PCU336---336---               ,2005,M11,102.9,
25,PCU336---336---               ,2005,M12,102.5,
27,PCU336---336---               ,2006,M01,103.1,
28,PCU336---336---               ,2006,M02,103.2,
29,PCU336---336---               ,2006,M03,103.4,
30,PCU336---336---               ,2006,M04,103.4,
31,PCU336---336---               ,2006,M05,103.4,
32,PCU336---336---               ,2006,M06,103.1,
33,PCU336---336---               ,2006,M07,101.1,
34,PCU336---336---               ,2006,M08,101.9,
35,PCU336---336---               ,2006,M09,102.2,
36,PCU336---336---               ,2006,M10,103.2,
37,PCU336---336---               ,2006,M11,105.1,
38,PCU336---336---               ,2006,M12,104.8,
40,PCU336---336---               ,2007,M01,105.0,
41,PCU336---336---               ,2007,M02,105.0,
42,PCU336---336---               ,2007,M03,104.8,
43,PCU336---336---               ,2007,M04,104.5,
44,PCU336---336---               ,2007,M05,104.4,
45,PCU336---336---               ,2007,M06,104.4,
46,PCU336---336---               ,2007,M07,104.4,
47,PCU336---336---               ,2007,M08,104.2,
48,PCU336---336---               ,2007,M09,103.8,
49,PCU336---336---               ,2007,M10,106.3,
50,PCU336---336---               ,2007,M11,106.6,
51,PCU336---336---               ,2007,M12,106.0,
53,PCU336---336---               ,2008,M01,106.6,
54,PCU336---336---               ,2008,M02,106.6,
55,PCU336---336---               ,2008,M03,106.1,
56,PCU336---336---               ,2008,M04,106.7,
57,PCU336---336---               ,2008,M05,106.6,
58,PCU336---336---               ,2008,M06,105.9,
59,PCU336---336---               ,2008,M07,105.9,
60,PCU336---336---               ,2008,M08,106.5,
61,PCU336---336---               ,2008,M09,106.6,
62,PCU336---336---               ,2008,M10,110.4,
63,PCU336---336---               ,2008,M11,110.0,
64,PCU336---336---               ,2008,M12,110.1,
66,PCU336---336---               ,2009,M01,110.0,
67,PCU336---336---               ,2009,M02,109.9,
68,PCU336---336---               ,2009,M03,109.4,
69,PCU336---336---               ,2009,M04,109.3,
70,PCU336---336---               ,2009,M05,108.9,
71,PCU336---336---               ,2009,M06,109.5,
72,PCU336---336---               ,2009,M07,108.5,
73,PCU336---336---               ,2009,M08,109.1,
74,PCU336---336---               ,2009,M09,108.5,
75,PCU336---336---               ,2009,M10,110.2,
76,PCU336---336---               ,2009,M11,110.6,
77,PCU336---336---               ,2009,M12,110.2,
79,PCU336---336---               ,2010,M01,110.8,
80,PCU336---336---               ,2010,M02,110.7,
81,PCU336---336---               ,2010,M03,110.3,
82,PCU336---336---               ,2010,M04,110.3,
83,PCU336---336---               ,2010,M05,110.3,
84,PCU336---336---               ,2010,M06,109.9,
85,PCU336---336---               ,2010,M07,109.7,
86,PCU336---336---               ,2010,M08,109.9,
87,PCU336---336---               ,2010,M09,109.9,
88,PCU336---336---               ,2010,M10,111.1,
89,PCU336---336---               ,2010,M11,110.9,
90,PCU336---336---               ,2010,M12,110.8,
92,PCU336---336---               ,2011,M01,111.2,
93,PCU336---336---               ,2011,M02,111.3,
94,PCU336---336---               ,2011,M03,111.6,
95,PCU336---336---               ,2011,M04,112.0,
96,PCU336---336---               ,2011,M05,111.8,
97,PCU336---336---               ,2011,M06,112.1,
98,PCU336---336---               ,2011,M07,112.2,
99,PCU336---336---               ,2011,M08,112.2,
100,PCU336---336---               ,2011,M09,112.1,
101,PCU336---336---               ,2011,M10,113.8,
102,PCU336---336---               ,2011,M11,113.9,
103,PCU336---336---               ,2011,M12,113.9,
105,PCU336---336---               ,2012,M01,114.3,
106,PCU336---336---               ,2012,M02,114.2,
107,PCU336---336---               ,2012,M03,114.2,
108,PCU336---336---               ,2012,M04,114.4,
109,PCU336---336---               ,2012,M05,114.2,
110,PCU336---336---               ,2012,M06,114.4,
111,PCU336---336---               ,2012,M07,114.7,
112,PCU336---336---               ,2012,M08,114.8,
113,PCU336---336---               ,2012,M09,114.5,
114,PCU336---336---               ,2012,M10,115.9,
115,PCU336---336---               ,2012,M11,116.0,
116,PCU336---336---               ,2012,M12,115.8,
118,PCU336---336---               ,2013,M01,115.9,
119,PCU336---336---               ,2013,M02,116.0,
120,PCU336---336---               ,2013,M03,115.8,
121,PCU336---336---               ,2013,M04,115.7,
122,PCU336---336---               ,2013,M05,115.6,
123,PCU336---336---               ,2013,M06,115.5,
124,PCU336---336---               ,2013,M07,115.3,
125,PCU336---336---               ,2013,M08,115.2,
126,PCU336---336---               ,2013,M09,115.3,
127,PCU336---336---               ,2013,M10,116.8,
128,PCU336---336---               ,2013,M11,117.1,
129,PCU336---336---               ,2013,M12,117.5,
131,PCU336---336---               ,2014,M01,117.8,
132,PCU336---336---               ,2014,M02,117.9,
133,PCU336---336---               ,2014,M03,117.5,
134,PCU336---336---               ,2014,M04,117.4,
135,PCU336---336---               ,2014,M05,117.2,
136,PCU336---336---               ,2014,M06,117.0,
137,PCU336---336---               ,2014,M07,117.0,
138,PCU336---336---               ,2014,M08,117.0,
139,PCU336---336---               ,2014,M09,116.8,
140,PCU336---336---               ,2014,M10,118.7,
141,PCU336---336---               ,2014,M11,118.6,
142,PCU336---336---               ,2014,M12,118.1,
144,PCU336---336---               ,2015,M01,118.9,
145,PCU336---336---               ,2015,M02,119.5,
146,PCU336---336---               ,2015,M03,119.4,
147,PCU336---336---               ,2015,M04,119.1,
148,PCU336---336---               ,2015,M05,119.0,
149,PCU336---336---               ,2015,M06,118.9,
150,PCU336---336---               ,2015,M07,119.1,
151,PCU336---336---               ,2015,M08,118.8,
152,PCU336---336---               ,2015,M09,118.8,
153,PCU336---336---               ,2015,M10,119.9,
154,PCU336---336---               ,2015,M11,120.0,
155,PCU336---336---               ,2015,M12,119.9,
157,PCU336---336---               ,2016,M01,120.0,
158,PCU336---336---               ,2016,M02,120.1,
159,PCU336---336---               ,2016,M03,120.0,
160,PCU336---336---               ,2016,M04,120.0,
161,PCU336---336---               ,2016,M05,120.0,
162,PCU336---336---               ,2016,M06,120.1,
163,PCU336---336---               ,2016,M07,119.7,
164,PCU336---336---               ,2016,M08,119.5,
165,PCU336---336---               ,2016,M09,119.5,
166,PCU336---336---               ,2016,M10,121.2,
167,PCU336---336---               ,2016,M11,121.1,
168,PCU336---336---               ,2016,M12,121.5,
170,PCU336---336---               ,2017,M01,121.4,
171,PCU336---336---               ,2017,M02,121.4,
172,PCU336---336---               ,2017,M03,121.6,
173,PCU336---336---               ,2017,M04,121.8,
174,PCU336---336---               ,2017,M05,121.3,
175,PCU336---336---               ,2017,M06,121.3,
176,PCU336---336---               ,2017,M07,121.0,
177,PCU336---336---               ,2017,M08,121.0,
178,PCU336---336---               ,2017,M09,121.0,
179,PCU336---336---               ,2017,M10,122.3,
180,PCU336---336---               ,2017,M11,122.5,
181,PCU336---336---               ,2017,M12,122.5,
183,PCU336---336---               ,2018,M01,122.6,
184,PCU336---336---               ,2018,M02,122.8,
185,PCU336---336---               ,2018,M03,122.9,
186,PCU336---336---               ,2018,M04,122.8,
187,PCU336---336---               ,2018,M05,122.9,
188,PCU336---336---               ,2018,M06,123.1,
189,PCU336---336---               ,2018,M07,123.1,
190,PCU336---336---               ,2018,M08,123.2,
191,PCU336---336---               ,2018,M09,123.3,
192,PCU336---336---               ,2018,M10,124.3,
193,PCU336---336---               ,2018,M11,124.3,
194,PCU336---336---               ,2018,M12,124.3,
196,PCU336---336---               ,2019,M01,124.7,
197,PCU336---336---               ,2019,M02,124.7,
198,PCU336---336---               ,2019,M03,124.5,
199,PCU336---336---               ,2019,M04,124.4,
200,PCU336---336---               ,2019,M05,124.4,
201,PCU336---336---               ,2019,M06,124.4,
202,PCU336---336---               ,2019,M07,124.4,
203,PCU336---336---               ,2019,M08,124.3,
204,PCU336---336---               ,2019,M09,124.2,
205,PCU336---336---               ,2019,M10,125.1,
206,PCU336---336---               ,2019,M11,125.2,
207,PCU336---336---               ,2019,M12,125.1,
209,PCU336---336---               ,2020,M01,124.9,
210,PCU336---336---               ,2020,M02,125.1,
211,PCU336---336---               ,2020,M03,124.7,
212,PCU336---336---               ,2020,M04,125.1,
213,PCU336---336---               ,2020,M05,125.0,
214,PCU336---336---               ,2020,M06,125.0,
215,PCU336---336---               ,2020,M07,125.0,
216,PCU336---336---               ,2020,M08,125.1,
217,PCU336---336---               ,2020,M09,125.2,
218,PCU336---336---               ,2020,M10,125.8,
219,PCU336---336---               ,2020,M11,126.1,
220,PCU336---336---               ,2020,M12,126.4,
222,PCU336---336---               ,2021,M01,126.9,
223,PCU336---336---               ,2021,M02,127.0,
224,PCU336---336---               ,2021,M03,127.0,
225,PCU336---336---               ,2021,M04,127.4,
226,PCU336---336---               ,2021,M05,127.9,
227,PCU336---336---               ,2021,M06,128.4,
228,PCU336---336---               ,2021,M07,128.938,
229,PCU336---336---               ,2021,M08,129.295,
230,PCU336---336---               ,2021,M09,129.484,
231,PCU336---336---               ,2021,M10,130.348,
232,PCU336---336---               ,2021,M11,130.794,
233,PCU336---336---               ,2021,M12,131.177,
235,PCU336---336---               ,2022,M01,132.223,P
236,PCU336---336---               ,2022,M02,132.974,P
237,PCU336---336---               ,2022,M03,133.568,P
238,PCU336---336---               ,2022,M04,134.494,P
239,PCU3361--3361--               ,2003,M12,100.0,
240,PCU3361--3361--               ,2004,M01,99.9,
241,PCU3361--3361--               ,2004,M02,99.5,
242,PCU3361--3361--               ,2004,M03,99.8,
243,PCU3361--3361--               ,2004,M04,99.0,
244,PCU3361--3361--               ,2004,M05,99.1,
245,PCU3361--3361--               ,2004,M06,99.2,
246,PCU3361--3361--               ,2004,M07,96.9,
247,PCU3361--3361--               ,2004,M08,96.6,
248,PCU3361--3361--               ,2004,M09,96.1,
249,PCU3361--3361--               ,2004,M10,103.3,
250,PCU3361--3361--               ,2004,M11,101.8,
251,PCU3361--3361--               ,2004,M12,101.5,
253,PCU3361--3361--               ,2005,M01,101.8,
254,PCU3361--3361--               ,2005,M02,100.1,
255,PCU3361--3361--               ,2005,M03,99.7,
256,PCU3361--3361--               ,2005,M04,99.6,
257,PCU3361--3361--               ,2005,M05,99.1,
258,PCU3361--3361--               ,2005,M06,97.0,
259,PCU3361--3361--               ,2005,M07,97.1,
260,PCU3361--3361--               ,2005,M08,96.5,
261,PCU3361--3361--               ,2005,M09,96.6,
262,PCU3361--3361--               ,2005,M10,100.7,
263,PCU3361--3361--               ,2005,M11,98.7,
264,PCU3361--3361--               ,2005,M12,97.4,
266,PCU3361--3361--               ,2006,M01,97.9,
267,PCU3361--3361--               ,2006,M02,97.9,
268,PCU3361--3361--               ,2006,M03,97.7,
269,PCU3361--3361--               ,2006,M04,97.0,
270,PCU3361--3361--               ,2006,M05,96.8,
271,PCU3361--3361--               ,2006,M06,95.9,
272,PCU3361--3361--               ,2006,M07,91.2,
273,PCU3361--3361--               ,2006,M08,92.6,
274,PCU3361--3361--               ,2006,M09,93.1,
275,PCU3361--3361--               ,2006,M10,95.2,
276,PCU3361--3361--               ,2006,M11,99.1,
277,PCU3361--3361--               ,2006,M12,98.3,
279,PCU3361--3361--               ,2007,M01,97.6,
280,PCU3361--3361--               ,2007,M02,97.4,
281,PCU3361--3361--               ,2007,M03,97.0,
282,PCU3361--3361--               ,2007,M04,96.2,
283,PCU3361--3361--               ,2007,M05,95.9,
284,PCU3361--3361--               ,2007,M06,95.8,
285,PCU3361--3361--               ,2007,M07,95.3,
