,series_id,year,period,value,footnote_codes
0,PCU443---443---               ,2003,M12,100.0,
1,PCU443---443---               ,2004,M01,101.4,
2,PCU443---443---               ,2004,M02,99.7,
3,PCU443---443---               ,2004,M03,99.9,
4,PCU443---443---               ,2004,M04,101.2,
5,PCU443---443---               ,2004,M05,101.2,
6,PCU443---443---               ,2004,M06,98.8,
7,PCU443---443---               ,2004,M07,98.6,
8,PCU443---443---               ,2004,M08,98.7,
9,PCU443---443---               ,2004,M09,99.2,
10,PCU443---443---               ,2004,M10,98.4,
11,PCU443---443---               ,2004,M11,97.9,
12,PCU443---443---               ,2004,M12,93.6,
13,PCU443---443---               ,2004,M13,99.0,
14,PCU443---443---               ,2005,M01,98.3,
15,PCU443---443---               ,2005,M02,100.2,
16,PCU443---443---               ,2005,M03,102.3,
17,PCU443---443---               ,2005,M04,103.5,
18,PCU443---443---               ,2005,M05,99.7,
19,PCU443---443---               ,2005,M06,99.4,
20,PCU443---443---               ,2005,M07,91.8,
21,PCU443---443---               ,2005,M08,95.8,
22,PCU443---443---               ,2005,M09,100.7,
23,PCU443---443---               ,2005,M10,100.2,
24,PCU443---443---               ,2005,M11,99.9,
25,PCU443---443---               ,2005,M12,95.3,
26,PCU443---443---               ,2005,M13,98.9,
27,PCU443---443---               ,2006,M01,98.7,
28,PCU443---443---               ,2006,M02,97.0,
29,PCU443---443---               ,2006,M03,102.9,
30,PCU443---443---               ,2006,M04,105.6,
31,PCU443---443---               ,2006,M05,103.9,
32,PCU443---443---               ,2006,M06,96.9,
33,PCU443---443---               ,2006,M07,97.0,
34,PCU443---443---               ,2006,M08,96.2,
35,PCU443---443---               ,2006,M09,100.5,
36,PCU443---443---               ,2006,M10,96.7,
37,PCU443---443---               ,2006,M11,104.4,
38,PCU443---443---               ,2006,M12,93.7,
39,PCU443---443---               ,2006,M13,99.4,
40,PCU443---443---               ,2007,M01,102.0,
41,PCU443---443---               ,2007,M02,104.6,
42,PCU443---443---               ,2007,M03,101.8,
43,PCU443---443---               ,2007,M04,97.9,
44,PCU443---443---               ,2007,M05,110.2,
45,PCU443---443---               ,2007,M06,112.4,
46,PCU443---443---               ,2007,M07,111.6,
47,PCU443---443---               ,2007,M08,109.8,
48,PCU443---443---               ,2007,M09,107.8,
49,PCU443---443---               ,2007,M10,111.1,
50,PCU443---443---               ,2007,M11,114.9,
51,PCU443---443---               ,2007,M12,89.3,
52,PCU443---443---               ,2007,M13,106.1,
53,PCU443---443---               ,2008,M01,109.0,
54,PCU443---443---               ,2008,M02,110.2,
55,PCU443---443---               ,2008,M03,113.4,
56,PCU443---443---               ,2008,M04,119.7,
57,PCU443---443---               ,2008,M05,118.7,
58,PCU443---443---               ,2008,M06,105.8,
59,PCU443---443---               ,2008,M07,106.5,
60,PCU443---443---               ,2008,M08,111.0,
61,PCU443---443---               ,2008,M09,110.8,
