,series_id,year,period,value,footnote_codes
13,PCU332---332---               ,1985,M13,100.6,
26,PCU332---332---               ,1986,M13,101.0,
39,PCU332---332---               ,1987,M13,102.1,
52,PCU332---332---               ,1988,M13,107.4,
65,PCU332---332---               ,1989,M13,112.6,
78,PCU332---332---               ,1990,M13,115.1,
91,PCU332---332---               ,1991,M13,116.6,
104,PCU332---332---               ,1992,M13,117.2,
117,PCU332---332---               ,1993,M13,118.2,
130,PCU332---332---               ,1994,M13,120.3,
143,PCU332---332---               ,1995,M13,124.8,
156,PCU332---332---               ,1996,M13,126.2,
169,PCU332---332---               ,1997,M13,127.6,
182,PCU332---332---               ,1998,M13,128.7,
195,PCU332---332---               ,1999,M13,129.1,
208,PCU332---332---               ,2000,M13,130.3,
221,PCU332---332---               ,2001,M13,131.0,
234,PCU332---332---               ,2002,M13,131.7,
247,PCU332---332---               ,2003,M13,132.9,
260,PCU332---332---               ,2004,M13,141.3,
273,PCU332---332---               ,2005,M13,149.5,
286,PCU332---332---               ,2006,M13,155.7,
299,PCU332---332---               ,2007,M13,162.3,
312,PCU332---332---               ,2008,M13,174.4,
325,PCU332---332---               ,2009,M13,175.2,
338,PCU332---332---               ,2010,M13,176.5,
351,PCU332---332---               ,2011,M13,182.8,
364,PCU332---332---               ,2012,M13,185.4,
377,PCU332---332---               ,2013,M13,186.4,
390,PCU332---332---               ,2014,M13,188.4,
403,PCU332---332---               ,2015,M13,189.1,
416,PCU332---332---               ,2016,M13,188.8,
429,PCU332---332---               ,2017,M13,191.8,
442,PCU332---332---               ,2018,M13,200.0,
455,PCU332---332---               ,2019,M13,204.6,
468,PCU332---332---               ,2020,M13,205.8,
481,PCU332---332---               ,2021,M13,230.164,
499,PCU3321--3321--               ,2004,M13,107.0,
512,PCU3321--3321--               ,2005,M13,113.3,
525,PCU3321--3321--               ,2006,M13,116.8,
538,PCU3321--3321--               ,2007,M13,120.9,
551,PCU3321--3321--               ,2008,M13,130.8,
564,PCU3321--3321--               ,2009,M13,128.0,
577,PCU3321--3321--               ,2010,M13,130.3,
590,PCU3321--3321--               ,2011,M13,135.8,
603,PCU3321--3321--               ,2012,M13,134.9,
616,PCU3321--3321--               ,2013,M13,133.4,
629,PCU3321--3321--               ,2014,M13,133.1,
642,PCU3321--3321--               ,2015,M13,129.8,
655,PCU3321--3321--               ,2016,M13,128.3,
668,PCU3321--3321--               ,2017,M13,130.9,
681,PCU3321--3321--               ,2018,M13,133.1,
694,PCU3321--3321--               ,2019,M13,131.9,
707,PCU3321--3321--               ,2020,M13,130.0,
720,PCU3321--3321--               ,2021,M13,155.9,
738,PCU33211-33211-               ,2004,M13,107.0,
751,PCU33211-33211-               ,2005,M13,113.3,
764,PCU33211-33211-               ,2006,M13,116.8,
777,PCU33211-33211-               ,2007,M13,120.9,
790,PCU33211-33211-               ,2008,M13,130.8,
