index,Index,Label,unit,start,last,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CUUR0000SAM      ,CUUR0000SAM      ,"Medical care in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1935-M03,2021-M11,10.2,10.2,10.3,10.3,10.3,10.4,10.4,10.7,11.2,11.6,11.9,12.5,13.5,14.4,14.8,15.1,15.9,16.7,17.3,17.8,18.2,18.9,19.7,20.6,21.5,22.3,22.9,23.5,24.1,24.6,25.2,26.3,28.2,29.9,31.9,34.0,36.1,37.3,38.8,42.4,47.5,52.0,57.0,61.8,67.5,74.9,82.9,92.5,100.6,106.8,113.5,122.0,130.1,138.6,149.3,162.8,177.0,190.1,201.4,211.0,220.5,228.2,234.6,242.1,250.6,260.8,272.8,285.6,297.1,310.1,323.2,336.2,351.05400000000014,364.065,375.61300000000006,388.436,400.25800000000004,414.92400000000004,425.134,435.292,446.75199999999995,463.675,475.32199999999995,484.707,498.413,518.876
CUUR0000SAM1     ,CUUR0000SAM1     ,"Medical care commodities in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2021-M11,31.7,31.6,31.8,32.0,31.9,31.8,32.0,32.8,33.0,33.3,33.6,34.2,36.7,38.6,39.2,39.7,40.8,41.2,41.5,42.0,42.5,43.4,44.6,46.1,46.8,46.9,46.3,45.6,45.2,45.1,45.0,45.1,44.9,45.0,45.4,46.5,47.3,47.4,47.5,49.2,53.3,56.5,60.2,64.4,69.0,75.4,83.7,92.3,100.2,107.5,115.2,122.8,131.0,139.9,150.8,163.4,176.8,188.1,195.0,200.7,204.5,210.4,215.3,221.8,230.7,238.1,247.6,256.4,262.8,269.3,276.0,285.9,289.999,296.045,305.108,314.717,324.089,333.6090000000001,335.1090000000001,343.42199999999997,354.625,366.781,377.038,381.42699999999996,381.288,383.16
CUUR0000SAM2     ,CUUR0000SAM2     ,"Medical care services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1935-M03,2021-M11,8.3,8.3,8.4,8.4,8.5,8.5,8.5,8.8,9.2,9.6,9.9,10.4,11.3,12.1,12.5,12.8,13.4,14.3,14.8,15.3,15.7,16.3,17.0,17.9,18.7,19.5,20.2,20.9,21.5,22.0,22.7,23.9,26.0,27.9,30.2,32.3,34.7,35.9,37.5,41.4,46.6,51.3,56.4,61.2,67.2,74.8,82.8,92.6,100.7,106.7,113.2,121.9,130.0,138.3,148.9,162.7,177.1,190.5,202.9,213.4,224.2,232.4,239.1,246.8,255.1,266.0,278.8,292.9,306.0,321.3,336.7,350.6,369.30199999999996,384.94300000000004,397.29900000000004,411.208,423.81,440.341,454.00699999999995,464.798,476.171,494.76599999999996,506.80400000000003,517.805,536.1419999999998,562.65
CUUR0000SEMC     ,CUUR0000SEMC     ,"Professional services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,32.5,34.7,37.0,39.4,40.8,42.2,45.8,50.8,55.5,60.0,64.5,70.1,77.9,85.9,93.2,99.8,107.0,113.5,120.8,128.8,137.5,146.4,156.1,165.7,175.8,184.7,192.5,201.0,208.3,215.4,222.2,229.2,237.7,246.5,253.9,261.2,271.5,281.7,289.3,300.7920000000001,310.968,319.372,328.186,335.666,341.994,349.468,355.153,361.514,371.546,375.13800000000003,378.35900000000004,382.56300000000016,389.869
CUUR0000SEMC01   ,CUUR0000SEMC01   ,"Physicians' services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2021-M11,11.1,11.2,11.2,11.2,11.2,11.2,11.3,11.5,12.3,12.8,13.1,13.7,14.6,15.2,15.5,15.7,16.3,17.0,17.4,18.0,18.6,19.1,20.0,20.6,21.3,21.9,22.4,23.1,23.6,24.2,25.1,26.5,28.4,30.0,32.1,34.5,36.9,38.0,39.3,42.9,48.1,53.5,58.5,63.4,69.2,76.5,84.9,92.9,100.1,107.0,113.3,121.5,130.4,139.8,150.1,160.8,170.5,181.2,191.3,199.8,208.8,216.4,222.9,229.5,236.0,244.7,253.6,260.6,267.7,278.3,287.5,291.9,303.242,311.342,320.83099999999996,331.33,340.301,347.306,354.161,359.097,366.082,378.082,380.086,380.45099999999996,383.228,389.9
CUUR0000SEMC02   ,CUUR0000SEMC02   ,"Dental services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2021-M11,13.4,13.4,13.7,13.8,13.8,13.8,13.8,14.2,14.8,15.6,16.3,17.2,18.7,19.7,20.5,21.0,21.8,22.3,23.0,23.7,24.0,24.4,25.0,25.8,26.4,27.0,27.1,27.8,28.6,29.4,30.3,31.3,32.8,34.6,37.1,39.2,41.7,43.4,44.8,48.2,53.2,56.5,60.8,65.1,70.5,78.9,86.5,93.1,99.4,107.5,114.2,120.6,128.8,137.5,146.1,155.8,167.4,178.7,188.1,197.1,206.8,216.5,226.6,236.2,247.2,258.5,269.0,281.0,292.5,306.9,324.0,340.9,358.415,376.86699999999996,388.12699999999995,398.756,408.034,417.461,431.75699999999995,441.005,452.18199999999996,465.039,472.57099999999997,485.525,496.16,511.079
CUUR0000SEMC03   ,CUUR0000SEMC03   ,"Eyeglasses and eye care in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1986.12=100,1986-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.5,108.7,112.4,117.3,121.9,127.0,130.4,133.0,137.0,139.3,141.5,144.1,145.5,149.7,154.5,155.5,155.9,159.3,163.2,168.1,171.61900000000003,174.107,175.468,176.65,178.252,179.855,180.775,183.92,183.96,186.97,187.301,189.609,191.429,192.94
CUUR0000SEMC04   ,CUUR0000SEMC04   ,"Services by other medical professionals in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1986.12=100,1986-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,108.3,114.2,120.2,126.6,131.7,135.9,141.3,143.9,146.6,151.8,155.4,158.7,161.9,167.3,171.8,177.1,181.9,186.8,192.2,197.41400000000002,205.49200000000002,209.77900000000002,214.37,217.435,219.608,223.342,226.393,228.24599999999998,230.958,236.592,237.355,239.204,242.106
CUUR0000SEMD     ,CUUR0000SEMD     ,"Hospital and related services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1,61.0,69.2,79.1,90.3,100.5,109.2,116.1,123.1,131.6,143.9,160.5,178.0,196.1,214.0,231.9,245.6,257.8,269.5,278.4,287.5,299.5,317.3,338.3,367.8,394.8,417.9,439.9,468.1,498.92199999999997,533.953,567.879,607.679,641.488,672.078,701.3439999999997,733.841,761.8530000000003,795.127,831.696,866.942,885.16,921.079
CUUR0000SEMD01   ,CUUR0000SEMD01   ,"Hospital services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1996.12=100,1996-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.7,105.0,109.3,115.9,123.6,134.7,144.7,153.4,161.6,172.1,183.551,197.18599999999998,210.731,227.227,241.213,253.563,265.448,278.754,290.132,303.26,318.17,332.23699999999997,338.814,352.952
