index,Index,Label,unit,start,last,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CUUR0000SAR      ,CUUR0000SAR      ,"Recreation in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1993-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,92.7,94.5,97.4,99.6,101.1,102.0,103.3,104.9,106.2,107.5,108.6,109.4,110.9,111.443,113.25399999999999,114.272,113.31299999999999,113.35700000000001,114.70299999999999,115.266,115.54299999999999,115.941,116.984,118.50399999999999,119.09100000000001,120.615,122.242
CUUR0000SARC     ,CUUR0000SARC     ,"Recreation commodities in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.699,96.814,95.2,93.49600000000001,91.182,88.64299999999999,85.82799999999997,83.021,80.547,79.905,78.98899999999998
CUUR0000SARS     ,CUUR0000SARS     ,"Recreation services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.065,102.454,105.587,107.59899999999999,109.56,111.80799999999999,115.134,119.115,121.62200000000001,124.37,127.59100000000001
CUUR0000SERA     ,CUUR0000SERA     ,"Video and audio in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1993-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.5,95.4,95.1,96.6,99.4,101.1,100.7,101.0,101.5,102.8,103.6,104.2,104.2,104.6,102.949,102.632,101.27600000000001,99.12200000000001,98.40100000000001,99.416,99.676,99.84200000000001,99.635,100.946,104.16799999999999,104.20100000000001,104.65700000000001,107.07799999999999
CUUR0000SERA01   ,CUUR0000SERA01   ,"Televisions in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1950-M12,2021-M11,156.6,138.1,132.8,124.1,117.0,117.5,122.6,124.8,126.4,127.3,124.0,117.9,114.9,112.3,107.5,102.3,100.2,100.0,99.8,100.0,100.3,99.7,98.2,99.1,101.8,103.1,101.9,101.8,103.2,104.6,105.5,104.1,100.5,95.5,88.7,83.2,79.7,77.6,76.1,74.6,72.9,72.4,70.7,69.9,68.1,64.5,61.7,59.2,54.9,49.9,44.8,40.1,34.9,30.0,26.6,22.3,16.938,13.984000000000002,10.605,7.985,6.636,5.428999999999999,4.581,3.9360000000000004,3.378,2.728,2.3569999999999998,1.966,1.59,1.367
CUUR0000SERA02   ,CUUR0000SERA02   ,"Cable and satellite television service in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1983.12=100,1983-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.9,110.6,115.5,123.1,132.9,144.0,158.4,175.7,186.2,198.9,197.4,200.7,212.6,228.7,245.2,254.6,266.8,278.4,295.0,309.5,322.4,331.9,344.9,351.475,359.93,367.574,372.379,378.97,395.639,406.531,416.13800000000003,422.791,438.283,462.161,470.45300000000003,479.409,500.129
CUUR0000SERA03   ,CUUR0000SERA03   ,"Other video equipment in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,78.8,64.9,53.2,46.5,39.7,35.0,30.9,26.9,23.601999999999997,20.462,18.27,16.033,13.998,12.339,11.307,11.134,10.677999999999999,10.302999999999999,9.933,9.646,9.636000000000001,9.693
CUUR0000SERA04   ,CUUR0000SERA04   ,"Video discs and other media, including rental of video in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.2,92.1,88.6,85.0,81.8,78.3,77.6,76.7,76.6,76.112,77.508,77.738,76.203,78.457,79.50399999999998,77.176,73.267,72.809,73.445,71.345,72.939,74.506,69.263
CUUR0000SERA05   ,CUUR0000SERA05   ,"Audio equipment in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.4,95.5,97.7,100.8,102.0,100.3,97.7,94.4,91.8,93.0,92.7,92.8,93.2,94.6,94.4,93.9,93.8,92.1,90.7,88.9,85.2,81.7,80.2,77.2,73.4,69.5,66.0,60.6,57.3,54.13,51.56800000000001,48.919,47.342,45.14,42.021,39.927,38.014,36.003,34.226,31.393,27.038,27.256,26.81
CUUR0000SERA06   ,CUUR0000SERA06   ,"Recorded music and music subscriptions in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,101.3,102.1,106.6,105.7,108.3,108.7,109.7,107.6,105.475,103.50200000000001,98.885,94.12799999999999,91.728,88.818,89.225,89.316,87.427,85.586,88.22399999999998,85.706,82.23299999999998,79.793
