,series_id,year,period,value,footnote_codes
5,CWUR0400AA0      ,1967,M13,53.9,
10,CWUR0400AA0      ,1968,M13,55.9,
15,CWUR0400AA0      ,1969,M13,58.7,
20,CWUR0400AA0      ,1970,M13,61.7,
25,CWUR0400AA0      ,1971,M13,63.8,
30,CWUR0400AA0      ,1972,M13,65.9,
35,CWUR0400AA0      ,1973,M13,69.7,
40,CWUR0400AA0      ,1974,M13,77.1,
45,CWUR0400AA0      ,1975,M13,85.1,
50,CWUR0400AA0      ,1976,M13,90.2,
55,CWUR0400AA0      ,1977,M13,96.9,
62,CWUR0400AA0      ,1978,M13,105.1,
69,CWUR0400AA0      ,1979,M13,117.6,
76,CWUR0400AA0      ,1980,M13,135.0,
83,CWUR0400AA0      ,1981,M13,149.0,
90,CWUR0400AA0      ,1982,M13,157.9,
97,CWUR0400AA0      ,1983,M13,159.3,
104,CWUR0400AA0      ,1984,M13,165.5,
111,CWUR0400AA0      ,1985,M13,172.7,
118,CWUR0400AA0      ,1986,M13,176.2,
131,CWUR0400AA0      ,1987,M13,182.1,
144,CWUR0400AA0      ,1988,M13,189.3,
157,CWUR0400AA0      ,1989,M13,198.3,
170,CWUR0400AA0      ,1990,M13,208.8,
183,CWUR0400AA0      ,1991,M13,217.5,
196,CWUR0400AA0      ,1992,M13,224.8,
209,CWUR0400AA0      ,1993,M13,231.0,
222,CWUR0400AA0      ,1994,M13,236.1,
235,CWUR0400AA0      ,1995,M13,242.2,
248,CWUR0400AA0      ,1996,M13,248.6,
261,CWUR0400AA0      ,1997,M13,254.1,
274,CWUR0400AA0      ,1998,M13,258.1,
287,CWUR0400AA0      ,1999,M13,265.0,
300,CWUR0400AA0      ,2000,M13,274.2,
313,CWUR0400AA0      ,2001,M13,283.9,
326,CWUR0400AA0      ,2002,M13,289.3,
339,CWUR0400AA0      ,2003,M13,295.6,
352,CWUR0400AA0      ,2004,M13,302.5,
365,CWUR0400AA0      ,2005,M13,312.1,
378,CWUR0400AA0      ,2006,M13,322.4,
391,CWUR0400AA0      ,2007,M13,332.504,
404,CWUR0400AA0      ,2008,M13,344.823,
417,CWUR0400AA0      ,2009,M13,342.307,
430,CWUR0400AA0      ,2010,M13,347.196,
443,CWUR0400AA0      ,2011,M13,358.113,
456,CWUR0400AA0      ,2012,M13,365.584,
469,CWUR0400AA0      ,2013,M13,370.538,
482,CWUR0400AA0      ,2014,M13,376.814,
495,CWUR0400AA0      ,2015,M13,379.387,
508,CWUR0400AA0      ,2016,M13,385.596,
521,CWUR0400AA0      ,2017,M13,396.46,
534,CWUR0400AA0      ,2018,M13,410.501,
547,CWUR0400AA0      ,2019,M13,421.167,
560,CWUR0400AA0      ,2020,M13,428.737,
573,CWUR0400AA0      ,2021,M13,450.66,
582,CWUR0400SA0      ,1967,M13,33.5,
587,CWUR0400SA0      ,1968,M13,34.7,
592,CWUR0400SA0      ,1969,M13,36.5,
597,CWUR0400SA0      ,1970,M13,38.3,
602,CWUR0400SA0      ,1971,M13,39.7,
607,CWUR0400SA0      ,1972,M13,41.0,
612,CWUR0400SA0      ,1973,M13,43.3,
617,CWUR0400SA0      ,1974,M13,47.9,
622,CWUR0400SA0      ,1975,M13,52.9,
627,CWUR0400SA0      ,1976,M13,56.1,
632,CWUR0400SA0      ,1977,M13,60.2,
639,CWUR0400SA0      ,1978,M13,65.3,
646,CWUR0400SA0      ,1979,M13,73.1,
653,CWUR0400SA0      ,1980,M13,83.9,
660,CWUR0400SA0      ,1981,M13,92.6,
667,CWUR0400SA0      ,1982,M13,98.1,
674,CWUR0400SA0      ,1983,M13,99.0,
681,CWUR0400SA0      ,1984,M13,102.9,
688,CWUR0400SA0      ,1985,M13,107.3,
695,CWUR0400SA0      ,1986,M13,109.5,
708,CWUR0400SA0      ,1987,M13,113.2,
721,CWUR0400SA0      ,1988,M13,117.7,
734,CWUR0400SA0      ,1989,M13,123.2,
747,CWUR0400SA0      ,1990,M13,129.8,
760,CWUR0400SA0      ,1991,M13,135.2,
773,CWUR0400SA0      ,1992,M13,139.7,
786,CWUR0400SA0      ,1993,M13,143.6,
799,CWUR0400SA0      ,1994,M13,146.8,
812,CWUR0400SA0      ,1995,M13,150.5,
825,CWUR0400SA0      ,1996,M13,154.5,
838,CWUR0400SA0      ,1997,M13,158.0,
851,CWUR0400SA0      ,1998,M13,160.5,
864,CWUR0400SA0      ,1999,M13,164.7,
877,CWUR0400SA0      ,2000,M13,170.4,
890,CWUR0400SA0      ,2001,M13,176.4,
903,CWUR0400SA0      ,2002,M13,179.8,
916,CWUR0400SA0      ,2003,M13,183.7,
929,CWUR0400SA0      ,2004,M13,188.0,
942,CWUR0400SA0      ,2005,M13,194.0,
955,CWUR0400SA0      ,2006,M13,200.4,
968,CWUR0400SA0      ,2007,M13,206.66,
981,CWUR0400SA0      ,2008,M13,214.316,
994,CWUR0400SA0      ,2009,M13,212.752,
1007,CWUR0400SA0      ,2010,M13,215.791,
1020,CWUR0400SA0      ,2011,M13,222.577,
1033,CWUR0400SA0      ,2012,M13,227.22,
1046,CWUR0400SA0      ,2013,M13,230.299,
1059,CWUR0400SA0      ,2014,M13,234.2,
1072,CWUR0400SA0      ,2015,M13,235.798,
1085,CWUR0400SA0      ,2016,M13,239.658,
