index,Index,Label,unit,start,last,1984-S1,1984-S2,1985-S1,1985-S2,1986-S1,1986-S2,1987-S1,1987-S2,1988-S1,1988-S2,1989-S1,1989-S2,1990-S1,1990-S2,1991-S1,1991-S2,1992-S1,1992-S2,1993-S1,1993-S2,1994-S1,1994-S2,1995-S1,1995-S2,1996-S1,1996-S2,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2,2018-S1,2018-S2,2019-S1,2019-S2,2020-S1,2020-S2,2021-S1
CWUS0000SAG      ,CWUS0000SAG      ,"Other goods and services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,106.2,109.6,112.4,115.9,119.2,122.6,125.8,129.8,134.0,138.9,144.4,150.5,155.6,162.2,168.5,175.0,180.2,186.3,192.5,192.0,194.2,198.7,201.8,206.6,210.1,214.3,218.7,224.5,231.5,240.6,258.4,265.4,273.7,279.2,285.2,293.7,298.6,305.4,306.0,307.9,310.8,314.4,319.8,324.6,329.1,332.6,341.80199999999996,346.20599999999996,354.298,361.51300000000003,382.346,400.91,406.061,412.496,415.059,418.73800000000006,422.527,426.95099999999996,430.269,435.01099999999997,439.26800000000003,442.60900000000004,446.88800000000003,452.02,456.68699999999995,462.222,468.529,474.38,480.249,484.639,490.39099999999996,497.949,504.995,510.23,520.021
CWUS0000SAG1     ,CWUS0000SAG1     ,"Personal care in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,103.2,105.4,107.3,109.2,111.4,112.4,114.1,115.8,118.0,120.6,123.7,126.0,129.1,131.2,133.9,135.5,138.0,139.2,140.6,142.6,144.1,145.5,146.4,148.1,149.5,150.6,152.1,153.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.31799999999998,228.53900000000002,230.00799999999998,231.93599999999998,234.43,235.273,237.734
CWUS0000SAGC     ,CWUS0000SAGC     ,"Other goods in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.32,102.434,102.91799999999999,103.736,104.565,105.52,105.991,107.43,108.507,109.27,110.061,111.00299999999999,111.919,112.68299999999999,114.406,116.18700000000001,117.195,117.5,119.066,121.234,122.81700000000001,123.7,126.544
CWUS0000SAGS     ,CWUS0000SAGS     ,"Other personal services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.805,101.64,102.494,103.538,104.648,105.902,107.194,108.012,109.03399999999999,109.949,111.374,113.094,114.555,116.71600000000001,118.066,119.08200000000001,121.137,123.274,124.507,125.979,127.93299999999999,129.82299999999998,131.635
CWUS0000SEGA     ,CWUS0000SEGA     ,"Tobacco and smoking products in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2021-S01,108.8,111.7,115.0,118.5,122.8,126.8,131.4,136.2,142.8,149.3,159.6,168.8,176.0,186.5,198.4,206.6,215.1,224.3,236.2,220.3,218.6,221.7,223.8,227.9,231.0,234.1,239.6,247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060.5610000000001,1079.775,1106.377,1141.359,1166.363,1197.144,1244.29
CWUS0000SEGA01   ,CWUS0000SEGA01   ,"Cigarettes in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.691,439.74699999999996,450.751,465.836,477.085,490.155,509.931
CWUS0000SEGA02   ,CWUS0000SEGA02   ,"Tobacco products other than cigarettes in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.014,277.41200000000003,283.02299999999997,286.607,286.506,291.349,299.935
CWUS0000SEGB     ,CWUS0000SEGB     ,"Personal care products in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.976,161.377,160.958,161.205,161.03799999999995,160.389,160.231
CWUS0000SEGB01   ,CWUS0000SEGB01   ,"Hair, dental, shaving, and miscellaneous personal care products in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.415,102.77799999999999,103.01700000000001,103.52600000000001,104.118,104.17,103.654
CWUS0000SEGB02   ,CWUS0000SEGB02   ,"Cosmetics, perfume, bath, nail preparations and implements in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.115,186.502,184.726,184.093,182.005,180.245,180.984
