,series_id,year,period,value,footnote_codes
0,PCU453110453110               ,2000,M06,100.0,
1,PCU453110453110               ,2000,M07,100.0,
2,PCU453110453110               ,2000,M08,98.9,
3,PCU453110453110               ,2000,M09,99.5,
4,PCU453110453110               ,2000,M10,103.0,
5,PCU453110453110               ,2000,M11,103.4,
6,PCU453110453110               ,2000,M12,102.3,
7,PCU453110453110               ,2001,M01,102.6,
8,PCU453110453110               ,2001,M02,111.8,
9,PCU453110453110               ,2001,M03,105.5,
10,PCU453110453110               ,2001,M04,106.2,
11,PCU453110453110               ,2001,M05,107.2,
12,PCU453110453110               ,2001,M06,106.8,
13,PCU453110453110               ,2001,M07,110.6,
14,PCU453110453110               ,2001,M08,110.1,
15,PCU453110453110               ,2001,M09,110.3,
16,PCU453110453110               ,2001,M10,109.2,
17,PCU453110453110               ,2001,M11,108.6,
18,PCU453110453110               ,2001,M12,107.6,
20,PCU453110453110               ,2002,M01,106.9,
21,PCU453110453110               ,2002,M02,109.0,
22,PCU453110453110               ,2002,M03,108.0,
23,PCU453110453110               ,2002,M04,108.9,
24,PCU453110453110               ,2002,M05,108.8,
25,PCU453110453110               ,2002,M06,111.0,
26,PCU453110453110               ,2002,M07,112.3,
27,PCU453110453110               ,2002,M08,112.3,
28,PCU453110453110               ,2002,M09,112.0,
29,PCU453110453110               ,2002,M10,112.2,
30,PCU453110453110               ,2002,M11,112.1,
31,PCU453110453110               ,2002,M12,112.2,
33,PCU453110453110               ,2003,M01,113.1,
34,PCU453110453110               ,2003,M02,118.9,
35,PCU453110453110               ,2003,M03,110.4,
36,PCU453110453110               ,2003,M04,110.5,
37,PCU453110453110               ,2003,M05,110.7,
38,PCU453110453110               ,2003,M06,110.9,
39,PCU453110453110               ,2003,M07,111.3,
40,PCU453110453110               ,2003,M08,111.3,
41,PCU453110453110               ,2003,M09,111.6,
42,PCU453110453110               ,2003,M10,110.2,
43,PCU453110453110               ,2003,M11,109.5,
44,PCU453110453110               ,2003,M12,108.2,
46,PCU453110453110               ,2004,M01,107.9,
47,PCU453110453110               ,2004,M02,109.3,
48,PCU453110453110               ,2004,M03,108.0,
49,PCU453110453110               ,2004,M04,108.0,
50,PCU453110453110               ,2004,M05,108.4,
51,PCU453110453110               ,2004,M06,108.0,
52,PCU453110453110               ,2004,M07,108.0,
53,PCU453110453110               ,2004,M08,108.2,
54,PCU453110453110               ,2004,M09,108.0,
55,PCU453110453110               ,2004,M10,108.1,
56,PCU453110453110               ,2004,M11,109.7,
57,PCU453110453110               ,2004,M12,110.0,
59,PCU453110453110               ,2005,M01,108.4,
60,PCU453110453110               ,2005,M02,109.1,
61,PCU453110453110               ,2005,M03,109.2,
62,PCU453110453110               ,2005,M04,108.9,
63,PCU453110453110               ,2005,M05,108.8,
64,PCU453110453110               ,2005,M06,108.4,
65,PCU453110453110               ,2005,M07,108.1,
66,PCU453110453110               ,2005,M08,107.9,
67,PCU453110453110               ,2005,M09,107.9,
68,PCU453110453110               ,2005,M10,108.1,
69,PCU453110453110               ,2005,M11,108.1,
70,PCU453110453110               ,2005,M12,108.1,
72,PCU453110453110               ,2006,M01,108.1,
73,PCU453110453110               ,2006,M02,109.2,
74,PCU453110453110               ,2006,M03,108.1,
75,PCU453110453110               ,2006,M04,108.3,
76,PCU453110453110               ,2006,M05,108.7,
77,PCU453110453110               ,2006,M06,108.7,
78,PCU453110453110               ,2006,M07,113.8,
79,PCU453110453110               ,2006,M08,113.8,
80,PCU453110453110               ,2006,M09,113.7,
81,PCU453110453110               ,2006,M10,113.8,
82,PCU453110453110               ,2006,M11,114.3,
83,PCU453110453110               ,2006,M12,114.3,
85,PCU453110453110               ,2007,M01,113.0,
86,PCU453110453110               ,2007,M02,112.9,
87,PCU453110453110               ,2007,M03,110.7,
88,PCU453110453110               ,2007,M04,116.3,
89,PCU453110453110               ,2007,M05,118.6,
90,PCU453110453110               ,2007,M06,118.2,
91,PCU453110453110               ,2007,M07,114.9,
92,PCU453110453110               ,2007,M08,118.3,
93,PCU453110453110               ,2007,M09,117.9,
94,PCU453110453110               ,2007,M10,117.7,
95,PCU453110453110               ,2007,M11,117.7,
96,PCU453110453110               ,2007,M12,117.3,
98,PCU453110453110               ,2008,M01,116.7,
99,PCU453110453110               ,2008,M02,118.4,
100,PCU453110453110               ,2008,M03,116.9,
101,PCU453110453110               ,2008,M04,117.0,
102,PCU453110453110               ,2008,M05,117.2,
103,PCU453110453110               ,2008,M06,118.1,
104,PCU453110453110               ,2008,M07,117.7,
105,PCU453110453110               ,2008,M08,117.7,
106,PCU453110453110               ,2008,M09,117.1,
107,PCU453110453110               ,2008,M10,117.0,
108,PCU453110453110               ,2008,M11,116.8,
109,PCU453110453110               ,2008,M12,119.1,
111,PCU453110453110               ,2009,M01,119.4,
112,PCU453110453110               ,2009,M02,120.4,
113,PCU453110453110               ,2009,M03,120.1,
114,PCU453110453110               ,2009,M04,118.8,
115,PCU453110453110               ,2009,M05,118.9,
116,PCU453110453110               ,2009,M06,114.0,
117,PCU453110453110               ,2009,M07,114.2,
118,PCU453110453110               ,2009,M08,114.0,
119,PCU453110453110               ,2009,M09,113.9,
120,PCU453110453110               ,2009,M10,113.8,
121,PCU453110453110               ,2009,M11,113.9,
122,PCU453110453110               ,2009,M12,114.2,
124,PCU453110453110               ,2010,M01,117.5,
125,PCU453110453110               ,2010,M02,122.5,
126,PCU453110453110               ,2010,M03,122.2,
127,PCU453110453110               ,2010,M04,115.7,
128,PCU453110453110               ,2010,M05,115.8,
129,PCU453110453110               ,2010,M06,115.7,
130,PCU453110453110               ,2010,M07,116.1,
131,PCU453110453110               ,2010,M08,116.1,
132,PCU453110453110               ,2010,M09,114.4,
133,PCU453110453110               ,2010,M10,114.5,
134,PCU453110453110               ,2010,M11,111.1,
135,PCU453110453110               ,2010,M12,110.5,
137,PCU453110453110               ,2011,M01,112.5,
138,PCU453110453110               ,2011,M02,113.4,
139,PCU453110453110               ,2011,M03,113.2,
140,PCU453110453110               ,2011,M04,113.0,
141,PCU453110453110               ,2011,M05,110.3,
142,PCU453110453110               ,2011,M06,110.3,
143,PCU453110453110               ,2011,M07,110.5,
144,PCU453110453110               ,2011,M08,111.3,
145,PCU453110453110               ,2011,M09,110.9,
146,PCU453110453110               ,2011,M10,110.6,
147,PCU453110453110               ,2011,M11,112.9,
148,PCU453110453110               ,2011,M12,112.9,
150,PCU453110453110               ,2012,M01,112.8,
151,PCU453110453110               ,2012,M02,116.5,
152,PCU453110453110               ,2012,M03,117.2,
153,PCU453110453110               ,2012,M04,117.0,
154,PCU453110453110               ,2012,M05,115.8,
155,PCU453110453110               ,2012,M06,115.9,
156,PCU453110453110               ,2012,M07,116.0,
157,PCU453110453110               ,2012,M08,116.0,
158,PCU453110453110               ,2012,M09,115.9,
159,PCU453110453110               ,2012,M10,115.7,
160,PCU453110453110               ,2012,M11,115.6,
161,PCU453110453110               ,2012,M12,115.5,
163,PCU453110453110               ,2013,M01,115.6,
164,PCU453110453110               ,2013,M02,116.0,
165,PCU453110453110               ,2013,M03,116.2,
166,PCU453110453110               ,2013,M04,116.2,
167,PCU453110453110               ,2013,M05,116.3,
168,PCU453110453110               ,2013,M06,116.8,
